,Seq. No.,2017 NAPCS Code,Title
230,231,14301010106,Retailing services for costume and novelty jewelry
232,233,14301010201,Retailing services for footwear and footwear accessories
234,235,14301010301,Retailing services for fine jewelry and watches
239,240,14401010101,"Rental of formal wear, costumes, and accessories"
244,245,14501010101,Access to laundry machines
245,246,14501010102,Non-commercial laundry services
246,247,14501010103,Drycleaning services
247,248,14501010104,Steam pressing and ironing services
249,250,14501010201,"Maintenance, repair, and alteration services for apparel, footwear, watches, and jewelry"
251,252,14501010301,Seasonal apparel and textile storage services
257,258,17101010101,"Constructions of residential buildings, except apartment buildings"
258,259,17101010102,Residential building construction services
262,263,17102010101,Wholesaling services for manufactured (mobile) homes
266,267,17103010101,Retailing services for manufactured (mobile) homes
270,271,17104010101,"Home, apartment, rooming house, and other residential space rental"
274,275,17105010101,Agent and brokerage services for the sale and rental of residential real estate
276,277,17105010201,Home mortgage financing
278,279,17105010301,Underwriting services for homeowners multiple peril insurance policies
280,281,17105010401,Home inspection services
281,282,17105010402,Combined home and pest inspection services
282,283,17105010403,New home construction inspection services
284,285,17105010501,Household moving services
286,287,17105010601,Residential interior cleaning services
287,288,17105010602,"On-site cleaning services for carpets, rugs, and upholstery, residential"
288,289,17105010603,Chimney cleaning services
290,291,17105010701,"Building security system monitoring services, residential"
291,292,17105010702,"Building security system and lock installation and repair services, residential"
292,293,17105010703,Key duplication services
294,295,17105010801,Architectural services for residential building projects
296,297,17105010901,Interior decorating services
298,299,17105011001,"Pest extermination and control services, residential"
300,301,17105011101,Engineering services for residential building projects
305,306,17201010101,"Residential landscape constructions, landscape construction services, and landscaping services"
306,307,17201010102,Landscape architectural services for residential building projects
312,313,21101010101,Home furniture
313,314,21101010102,"Mattresses, including wire spring, innerspring, and other mattresses"
316,317,21101020101,Window treatments
318,319,21101020201,Bath linens
319,320,21101020202,Bed linens
320,321,21101020203,"Other household textile products, except floor coverings and window treatments "
322,323,21101020301,"Household-type portable lighting fixtures, including parts and accessories"
324,325,21101020401,"Candles, including tapers"
326,327,21101020501,"Decorative articles, all materials, nec."
328,329,21101020601,Other household furnishings
332,333,21102010101,Household appliances 
336,337,21103010101,"Kitchenware, dinnerware, tableware (including plastics tableware), and utensils"
340,341,21104010101,Home cleaning and laundry chemicals
341,342,21104010102,Home cleaning and laundry supplies
345,346,21105010101,Home lawn and garden products
349,350,21106010101,"Household paper products, except tableware"
353,354,21107010101,"Paintings, sculptures, and other art works"
354,355,21107010102,Primary batteries
355,356,21107010103,"Other household and personal goods, nec."
360,361,21201010101,Wholesaling services for household and lawn furniture
361,362,21201010102,Wholesaling services for window treatments
362,363,21201010103,"Wholesaling services for other textile house furnishings, except floor coverings"
363,364,21201010104,Wholesaling services for other household furnishings
365,366,21201010201,"Wholesaling services for household appliances, including personal care appliances"
367,368,21201010301,"Wholesaling services for tableware, kitchenware, cookware, and glassware"
369,370,21201010401,"Wholesaling services for home lawn and garden equipment, tools, and supplies"
371,372,21201010501,"Wholesaling services for household paper and plastic products, nec."
373,374,21201010601,"Wholesaling services for household and personal goods, nec."
378,379,21301010101,Retailing services for indoor home furniture
379,380,21301010102,Retailing services for outdoor/patio furniture
380,381,21301010103,Retailing services for mattresses and boxsprings
381,382,21301010104,Retailing services for window treatments
382,383,21301010105,"Retailing services for domestics and other textile home furnishings, except carpet and rugs"
383,384,21301010106,Retailing services for other home furnishings and accessories
385,386,21301010201,Retailing services for household appliances and related parts and accessories
387,388,21301010301,"Retailing services for tableware, kitchenware, cookware, and glassware"
389,390,21301010401,Retailing services for household cleaning supplies
391,392,21301010501,Retailing services for home lawn and garden goods
393,394,21301010601,"Retailing services for household paper and plastic products, except tableware"
395,396,21301010701,"Retailing services for antiques, collectibles, art works, and other used goods, except transportation and machinery goods"
397,398,21301010801,"Retailing services for other household and personal goods, nec."
402,403,21401010101,"Rental services for home furniture, furnishings, and accessories"
404,405,21401010201,Rental of household type appliances
405,406,21401010202,Rental of general homeowner tools and do-it-yourself equipment
407,408,21401010301,"Rental services for household and personal goods, nec."
412,413,21501010101,"Off-site cleaning and repair services for home furniture, furnishings, and accessories, except curtain and drape cleaning services"
413,414,21501010102,Maintenance and repair services for home operation appliances and equipment
414,415,21501010103,"Maintenance and repair services for household and personal goods, nec."
420,421,24101010101,Home audio and visual equipment
422,423,24101010201,Wholesaling services for home audio and visual equipment
424,425,24101010301,"Retailing services for televisions, audio and video equipment"
425,426,24101010302,Retailing services for photographic equipment and supplies
427,428,24101010401,"Rental of home audiovisual equipment, components and accessories, except computers and peripherals"
428,429,24101010402,"Rental of pre-recorded cassettes, tapes, discs, or video games "
430,431,24101010501,Maintenance and repair services for home audio and visual equipment
434,435,24102010101,Multichannel programming distribution services
435,436,24102010102,Installation services for connections to program distribution networks
436,437,24102010103,"Public and non-commercial programming services, television and radio"
440,441,24103010101,"Internet access services, dial-up"
441,442,24103010102,"Internet access services, always-on, residential"
445,446,24104010101,Newspapers
447,448,24104010201,"Periodicals, general interest"
448,449,24104010202,"Periodicals, business (including farming), professional and academic "
449,450,24104010203,"Periodicals, nec."
451,452,24104010301,Textbooks
452,453,24104010302,Children's books
453,454,24104010303,General reference books
454,455,24104010304,"Professional, technical and scholarly books"
455,456,24104010305,Adult trade books
457,458,24104010401,Specialty content for consumers 
458,459,24104010402,"Specialty content for trade, professional, and business"
460,461,24104010501,Musical recordings
461,462,24104010502,"Non-musical audio recordings, except audio books"
463,464,24104010601,"Audiovisual recordings, including motion pictures, television programs, and music videos"
465,466,24104010701,Print music
468,469,24104020101,Wholesaling services for audio and video recordings
469,470,24104020102,"Wholesaling services for newspapers, periodicals, books and other publications"
472,473,24104030101,Retailing services for books
473,474,24104030102,"Retailing services for magazines and newspapers, including issue format comic books"
474,475,24104030103,"Retailing services for other publications (including greeting cards and calendars), except audio and video recordings"
475,476,24104030104,"Retailing services for audio and video recordings, including purchased downloads"
479,480,24105010101,Admissions to film exhibitions
483,484,24106010101,Admissions to live performing arts performances
484,485,24106010102,Admissions to cultural institutions
487,488,24106020101,Membership services of performing arts societies and cultural institutions
490,491,24106030101,Traveling exhibits
491,492,24106030102,"School visits, children's parties and similar children's programs of cultural institutions"
492,493,24106030103,Academic trips and tours
496,497,24107010101,Admissions to live sports events
500,501,24108010101,Sporting goods and equipment
501,502,24108010102,"Bicycles and other cycles, all types, except children's sidewalk bikes"
503,504,24108010201,Wholesaling services for sporting and recreational equipment
505,506,24108010301,"Retailing services for bicycles and other cycles, all types, except children's sidewalk bikes, and parts and accessories"
506,507,24108010302,Retailing services for golf equipment
507,508,24108010303,"Retailing services for hunting, fishing, hiking, and camping equipment"
508,509,24108010304,"Retailing services for other sporting goods and equipment, except sports vehicles"
511,512,24108020101,"Dolls, action figures, toy animals, and stuffed toys, including parts and accessories"
512,513,24108020102,"Baby carriages and children's vehicles (including parts for children's vehicles), except bicycles"
513,514,24108020103,"Models (operating and static), craft kits and supplies, natural science kits and sets, and collectors' miniatures"
514,515,24108020104,"Nonelectronic games and puzzles, including parts"
515,516,24108020105,"Other nonelectronic, nonriding toys, including parts"
516,517,24108020106,"Electronic toys and games (including video game devices and hand-held electronic home video games), except cartridges, disks, and tapes"
518,519,24108020201,"Wholesaling services for toys, games, and hobby goods"
520,521,24108020301,"Retailing services for toys, games, and hobby and craft supplies"
523,524,24108030101,Boats and other watercraft
524,525,24108030102,"Motorcycles, including three-wheel, motorbikes, motor scooters, mopeds, sidecars, and parts"
525,526,24108030103,Other recreational vehicles
527,528,24108030201,"Wholesaling services for boats, motorcycles, and other sports vehicles"
529,530,24108030301,"Retailing services for motorcycles, motor scooters, and motor bikes, including parts and accessories"
530,531,24108030302,Retailing services for boats and other sports vehicles
533,534,24108040101,Musical instruments
535,536,24108040201,Wholesaling services for musical instruments
537,538,24108040301,"Retailing services for musical instruments, sheet music, and related items"
540,541,24108050101,"Rental services for recreational, sports, and fitness equipment, including boats, motorcycles, other sports vehicles, and musical instruments"
543,544,24108060101,"Maintenance and repair services for recreational, sports, and fitness equipment, including boats, motorcycles, other sports vehicles, and musical instruments"
546,547,24108070101,Golf course and country club services
547,548,24108070102,Skiing facility services
548,549,24108070103,Fitness and recreational sports center services
549,550,24108070104,"Other recreation, sports, and fitness services"
551,552,24108070201,Caddy services
552,553,24108070202,Hunting and fishing guide services
553,554,24108070203,Fitness evaluation and personal fitness training services
554,555,24108070204,"Overnight recreational camp accommodation, including camp tuition and fees"
555,556,24108070205,"Pleasure craft docking, launching, utilities, and storage services"
556,557,24108070206,Amateur sports team and club services
557,558,24108070207,Registration for sports tournaments and matches
558,559,24108070208,Sports coaching services
562,563,24109010101,Amusement park and arcade services
566,567,24110010101,Table wagering games
567,568,24110010102,Gambling machine products
568,569,24110010103,Racing and sporting event gambling products
569,570,24110010104,Lotteries
570,571,24110010105,Internet gambling products
571,572,24110010106,"Sale of tickets of/for lotteries and other games of chance to gamblers, for a fee or commission"
573,574,24110010201,"Leisure, recreational, and athletic instructional programs "
575,576,24110010301,Library and archive services
577,578,24110010401,Portrait photography services
578,579,24110010402,Wedding and special event photography services
580,581,24110010501,Dating services
582,583,24110010601,Social event planning and coordination services
584,585,24110010701,"Services of self-service machines, nec."
586,587,24110010801,Other personal services
591,592,24201010101,Household pets
594,595,24201020101,Specialty pet feed
595,596,24201020102,Dog food
596,597,24201020103,Cat food
597,598,24201020104,Supplies and accessories for household pets
600,601,24201030101,"Wholesaling services for household pets, pet foods, and pet supplies"
603,604,24201040101,"Retailing services for pets, including fish"
604,605,24201040102,Retailing services for pet foods and supplies
607,608,24201050101,Veterinary services
608,609,24201050102,Non-medical services for household pets
614,615,27101010101,Automobiles and light-duty trucks 
617,618,27101020101,Wholesaling services for automobiles and light-duty trucks
620,621,27101030101,Retailing services for automobiles and light-duty trucks 
623,624,27101040101,Maintenance and repair services for automobiles and light-duty trucks
624,625,27101040102,Washing and cleaning services for automobiles and light-duty trucks
625,626,27101040103,Regulatory safety inspections and emissions testing services for automobiles and light-duty trucks
627,628,27101040201,Consumer vehicle loans
628,629,27101040202,Underwriting services for vehicle property and liability insurance policies
629,630,27101040203,Parking services
630,631,27101040204,"Security, navigation, armoring, and other vehicle services"
635,636,27201010101,"Local, fixed-route passenger transportation by road and transit rail"
636,637,27201010102,"Local passenger transportation by road, except fixed-route"
638,639,27201010201,Local passenger transportation by water
644,645,31101010101,"Motor homes, travel trailers, and campers"
647,648,31101020101,"Wholesaling services for motor homes, travel trailers, and campers"
650,651,31101030101,"Retailing services for motor homes, travel trailers, and campers  "
653,654,31101040101,"Rental and leasing services for motor homes, travel trailers, and campers"
656,657,31101050101,"Maintenance and repair and related services for motor homes, travel trailers, and campers"
661,662,31201010101,Rental of automobiles and light-duty trucks
666,667,31301010101,"Long-distance, fixed-route passenger transportation by road"
667,668,31301010102,"Long-distance passenger transportation by road, except fixed-route"
671,672,31302010101,Interurban passenger transportation by rail
675,676,31303010101,"Domestic, scheduled passenger transportation by air, first class and business class"
676,677,31303010102,"Domestic, scheduled passenger transportation by air, coach class"
678,679,31303010201,"International, scheduled passenger transportation by air, first class and business class"
679,680,31303010202,"International, scheduled passenger transportation by air, coach class"
682,683,31303020101,"Domestic, non-scheduled passenger transportation by air"
683,684,31303020102,"International, non-scheduled passenger transportation by air"
687,688,31304010101,"Coastal and Great Lakes fixed-route, passenger transportation by water"
692,693,31401010101,Sightseeing services by rail
693,694,31401010102,"Sightseeing services by ground vehicles, except rail"
694,695,31401010103,Sightseeing services by water
695,696,31401010104,Sightseeing services by air
696,697,31401010105,Tour guide services
700,701,31402010101,Cruises
704,705,31403010101,"Packaged and customized tours with accommodation, except cruises and academic trips and tours"
709,710,31501010101,Reservation service for airline seats
710,711,31501010102,Reservation service for vehicle rental
711,712,31501010103,Reservation service for cruises
712,713,31501010104,"Reservation service for passenger transportation, nec."
716,717,31502010101,Lodging reservation service
720,721,31503010101,Reservation service for packaged tours
724,725,31504010101,Event ticket sales and reservation services
728,729,31505010101,Trip planning services
732,733,31506010104,"Foreign currency exchange services, retail"
737,738,31601010101,Travel insurance services
742,743,31701010101,Room or unit accommodation for travelers
743,744,31701010102,Recreational vehicle and tent sites for travelers
748,749,31801010101,"Luggage, including suitcases, travel bags, backpacks, and other types"
750,751,31801010201,Wholesaling services for luggage
752,753,31801010301,"Retailing services for luggage and leather goods, including briefcases"
756,757,31802010101,Short-term entertainment access services
760,761,31803010101,"Other leisure and travel services, nec."
766,767,34101010101,Basic education and skills programs 
768,769,34101010201,"Trade, career, technical and professional development training programs "
770,771,34101010301,"Higher career, technical, academic, and advanced research qualification programs "
772,773,34101010401,Exam preparation courses
773,774,34101010402,Academic tutoring and customized learning programs
775,776,34101010501,Student services
778,779,34101020101,Educational support and consulting services
783,784,34201010101,"Pharmaceutical preparations, including prescribed and nonprescribed drugs and medicines"
785,786,34201010201,Wholesaling services for drugs and medicines
787,788,34201010301,"Retailing services for medicines, vitamins, minerals, and supplements"
791,792,34202010101,"Orthopedic and prosthetic appliances, other types, except intraocular lenses"
792,793,34202010102,Prescription eyeware
793,794,34202010103,"Other eyewear, except industrial"
794,795,34202010104,Hearing aids
795,796,34202010105,Other home medical supplies
798,799,34202020101,"Wholesaling services for health care equipment, appliances, and supplies for persons"
801,802,34202030101,Retailing services for home health care equipment and supplies
802,803,34202030102,Retailing services for glasses and contact lenses
805,806,34202040101,Rental of home health care equipment
809,810,34203010101,"Physician and hospital services, except dental services"
812,813,34203020101,Dental services
815,816,34203030101,Emergency ambulance services
816,817,34203030102,Non-emergency ambulance services
818,819,34203030201,Standby ambulance and/or first-aid services
821,822,34203040101,"Home health care and related services, except assisted daily living (ADL) services "
824,825,34203050101,Independent-living services
826,827,34203050201,"Assisted daily living (ADL) services, without rehabilitation or counseling"
827,828,34203050202,"Assisted daily living (ADL) services, with rehabilitation and therapy services"
828,829,34203050203,"Assisted daily living (ADL) services, with counseling services"
830,831,34203050301,"Assisted daily living (ADL) and skilled nursing services, without rehabilitation services"
831,832,34203050302,"Assisted daily living (ADL) and skilled nursing services, with rehabilitation services"
833,834,34203050401,Right to occupancy (life lease) services
836,837,34203060101,Human blood services
837,838,34203060102,Organ bank services
838,839,34203060103,Tissue bank services
839,840,34203060104,Human reproductive and stem cell bank services
841,842,34203060201,Therapeutic massage services
843,844,34203060301,"Other health care services, nec. "
847,848,34204010101,Underwriting services for life insurance
848,849,34204010102,Underwriting services for health and accident insurance 
853,854,34301010101,"Social assistance services for children, youth, and families"
854,855,34301010102,Social assistance services for elderly and disabled adults
855,856,34301010103,Social assistance services for immigrants and refugees
856,857,34301010104,Social assistance services for the general population
858,859,34301010201,Civic and social organization membership services
860,861,34301010301,Other membership (including religious congregation) services
866,867,37101010101,"Bath, facial, and hand soaps, including hand sanitizers"
867,868,37101010102,"Perfumes, toilet waters, and colognes"
868,869,37101010103,Hair care products 
869,870,37101010104,"Oral hygiene pastes, liquids, and similar products"
870,871,37101010105,"Cosmetics, creams, lotions, oils, and other toilet preparations "
872,873,37101010201,Personal care paper products
874,875,37101010301,Other non-electric personal care equipment and supplies
878,879,37102010101,"Wholesaling services for cosmetics, beauty supplies, perfumes and colognes, including hair preparations and hairbrushes "
879,880,37102010102,"Wholesaling services for bath, facial, and hand soaps"
880,881,37102010103,"Wholesaling services for personal care paper products, including disposable paper diapers, feminine hygiene products, and similar"
881,882,37102010104,"Wholesaling services for other personal care supplies, including toothbrushes (except electric), razor blades, and razors (except electric)"
885,886,37103010101,Retailing services for personal hygiene supplies
886,887,37103010102,Retailing services for cosmetics and fragrances
890,891,37104010101,Hair care services
891,892,37104010102,Nail care services
892,893,37104010103,Skin care services
893,894,37104010104,Hair removal services
894,895,37104010105,Non-therapeutic massage services
895,896,37104010106,"Tattoo, tanning and other body modification services"
896,897,37104010107,Weight loss services
901,902,37201010101,Caskets and other funeral goods
903,904,37201010201,Wholesaling services for caskets and other funeral goods
905,906,37201010301,"Retailing services for caskets, monuments, grave markers, and other funeral goods"
907,908,37201010401,Pre-burial services for human remains
908,909,37201010402,Cremation services for human remains
909,910,37201010403,Interment services for human remains
910,911,37201010404,Grave plots and other spaces for human remains
911,912,37201010405,Cemetery maintenance services
912,913,37201010406,Packaged funeral services for human remains
918,919,41101010101,"Deposit account service packages, except business"
919,920,41101010102,"Separately-priced deposit account services, except business"
921,922,41101010201,"Consumer loans, except mortgage and vehicle loans"
923,924,41101010301,Personal financial planning and investment management services
926,927,41101020101,Underwriting services for pensions and annuities
927,928,41101020102,"Other personal insurance services, nec."
931,932,41102010101,Loans to financial businesses
932,933,41102010102,Loans to non-financial businesses
933,934,41102010103,Loans to governments
936,937,41102020101,Credit card services
937,938,41102020102,Factoring services
938,939,41102020103,Automobile and light-duty truck leasing services
939,940,41102020104,"Finance leasing services, except automobile and light-duty truck leasing services"
940,941,41102020105,Installment credit services
941,942,41102020106,Other credit financing services
944,945,41102030101,Securities origination services
947,948,41102040101,Brokering and dealing services for debt instruments
948,949,41102040102,Brokering and dealing services for equities
949,950,41102040103,Brokering and dealing services for derivatives contracts
950,951,41102040104,"Brokering and dealing services for foreign currency, wholesale"
951,952,41102040105,Brokering and dealing services for investment company securities
952,953,41102040106,Brokering and dealing services for other financial instruments
953,954,41102040107,Brokerage correspondent services
956,957,41102050101,Financing related to securities
959,960,41102060101,Trading securities and commodity contracts on own account
962,963,41102070101,Cash handling and management services for business
965,966,41102080101,"Document payment services, except traveler's check services"
968,969,41102090101,Trust services
971,972,41102100101,Support services for financial and commodity markets
974,975,41102110101,Automated clearing house (ACH) services
977,978,41102120101,Other products supporting financial services
980,981,41102130101,"Tax planning and consulting services for corporate and other clients, except individuals and unincorporated businesses"
983,984,41102140101,Underwriting services for surety bonds and related products
984,985,41102140102,Underwriting services for agricultural multiple peril insurance policies
985,986,41102140103,Underwriting services for transportation insurance policies 
986,987,41102140104,Underwriting services for product liability insurance policies
987,988,41102140105,"Underwriting services for general liability insurance policies, nec."
990,991,41102150101,Reinsurance services for life and health insurance and annuities 
991,992,41102150102,Reinsurance services for surety bond and related insurances
992,993,41102150103,Reinsurance services for property and casualty insurance
993,994,41102150104,"Reinsurance services, nec."
996,997,41102160101,Insurance brokerage and agency services
997,998,41102160102,Claims adjustment services
998,999,41102160103,Consulting services for insurance
999,1000,41102160104,"Insurance support services, nec."
1002,1003,41102170101,Debt recovery and collection services
1003,1004,41102170102,Credit rating services
1004,1005,41102170103,Seizure and execution services
1010,1011,44101010101,"Legal services, criminal law"
1011,1012,44101010102,"Legal services, wills, estates and trusts"
1012,1013,44101010103,"Legal services, family law"
1016,1017,44102010101,"Legal services, real estate law"
1017,1018,44102010102,"Legal services, business and commercial law"
1018,1019,44102010103,"Legal services, civil negligence law"
1019,1020,44102010104,"Legal services, labor and employment law"
1020,1021,44102010105,"Legal services, other civil law"
1023,1024,44102020101,Legal expert witness services and other legal consulting services
1026,1027,44102030101,Legal and patent document filing and search services
1027,1028,44102030102,Process server services
1028,1029,44102030103,Personal background checks
1029,1030,44102030104,Investigation services
1030,1031,44102030105,"Other legal support services, nec."
1033,1034,44102040101,"Arbitration and mediation services, except environmental"
1036,1037,44102050101,Notarization and certification services
1042,1043,47101010101,Apartment and nonresidential building constructions
1043,1044,47101010102,Apartment and nonresidential building construction services
1044,1045,47101010103,Non-building constructions and construction services
1048,1049,47102010101,Rental and leasing of land for nonresidential use
1050,1051,47102010201,Rental and leasing of office and professional space
1051,1052,47102010202,Rental and leasing of commercial space
1052,1053,47102010203,Rental and leasing of industrial and manufacturing space
1053,1054,47102010204,"Rental of space for meetings, conventions, and similar short-term business uses"
1054,1055,47102010205,Rental of mini-warehouses and self-storage units space
1055,1056,47102010206,"Rental of space for weddings, banquets, parties and similar short-term social uses"
1056,1057,47102010207,"Rental of space for sporting, entertainment and other events"
1057,1058,47102010208,"Rental and leasing of nonresidential space in buildings or other facilities, nec."
1061,1062,47103010101,Commercial landscaping services
1063,1064,47103010201,Architectural services for nonresidential building projects
1064,1065,47103010202,Architectural services for historical restoration projects
1066,1067,47103010301,Landscape architectural services for nonresidential building projects
1067,1068,47103010302,Landscape architectural services for recreational and open space projects
1069,1070,47103010401,Urban planning services
1071,1072,47103010501,"Engineering services for commercial, public and institutional building projects"
1072,1073,47103010502,Engineering services for petroleum and petrochemical plant and process projects
1073,1074,47103010503,Engineering services for other industrial and manufacturing plant and process projects
1074,1075,47103010504,Engineering services for industrial and manufacturing product design projects
1075,1076,47103010505,Engineering services for transportation projects
1076,1077,47103010506,Engineering services for municipal utility projects
1077,1078,47103010507,Engineering services for power projects
1078,1079,47103010508,Engineering services for telecommunications and broadcasting system projects
1079,1080,47103010509,Engineering services for hazardous and industrial waste systems projects
1080,1081,47103010510,"Engineering services for nonresidential projects, nec."
